Browser,Benchmark,Mean (ms),Median (ms),Std Dev (ms),Min (ms),Max (ms)
chromium,JS_Fib_35,128.33050000001677,127.59999999962747,4.484241268084283,114.89999999850988,151.59999999962747
chromium,WASM_Fib_35,25.309500000011177,25.09999999962747,1.2200244874090018,22.5,35.09999999962747
chromium,JS_Sum_200k,2.891499999994412,2.900000000372529,0.1648567559444668,2.400000000372529,3.5
chromium,WASM_ArraySum_200k,0.16600000000558793,0.19999999925494194,0.06199999984083399,0,0.40000000037252903
chromium,JS_Sort_50k,1.1075,1.099999999627471,0.30982858157457394,0.7999999988824129,4.799999998882413
chromium,WASM_Sort_50k,0.13700000000186263,0.10000000149011612,0.06427285584422132,0,0.30000000074505806
chromium,WASM_SHA256_1MB,4.43949999999255,4.400000000372529,0.2204308282222875,3.800000000745058,5.5
chromium,WebCrypto_SHA256_1MB,9.994500000001862,10,0.6335769487823345,8.5,16.09999999962747
chromium,Interop_JS_to_WASM_100k,0.6009999999962747,0.599999999627471,0.1757811139153483,0.40000000037252903,2.099999999627471
chromium,JS_ArraySum_1KB,0.0035000000055879356,0,0.018377975978830483,0,0.10000000149011612
chromium,WASM_ArrayTransfer_1KB,0.0009999999962747098,0,0.009949874334,0,0.09999999962747097
chromium,JS_ArraySum_100KB,0.29449999999254944,0.30000000074505806,0.061804126213824744,0.19999999925494194,0.40000000037252903
chromium,WASM_ArrayTransfer_100KB,0.04550000000745058,0,0.2976235037262089,0,4.199999999254942
chromium,JS_ArraySum_1MB,3.9054999999981375,3.900000000372529,0.16798735066000228,3.599999999627471,4.700000001117587
chromium,WASM_ArrayTransfer_1MB,0.2475,0.2000000011175871,0.06239991989263852,0.09999999962747097,0.40000000037252903
